date,tny_name,tour,draw,server1,server2,winner,pbp,score,adf_flag
09 Oct 10,ATPChallengerTourQuitoLive2010,CH,Main,Joao Souza,Rogerio Dutra Da Silva,1,RSSRSS;SSSRS;SSSS;SSRRSRSS;RSSSS;SSSS;SSSS;RSSRRSSRSS;SSSS;SSRSS;SSSS;SRRRSSSS;S/RR/SS/SR/S.SSRSS;SSSS;SSSRS;RSSSS;RSSSRS;SRSRSRSS;SSSRS;SSSS;SSSS;SSSS;RSRSSS;SRRSSS;S/SS/RS/RS/RS/S,7-6(1) 7-6(3),0
05 Jan 11,ATPChallenger-SaoPaulo2010,CH,Main,Joao Sousa,Juan Pablo Brzezicki,2,SSRRSS;RSRSSRRSSRSS;RRRSSR;SSSRS;SRRSSS;SRSRRR;RRRSSR;SSRSS;RRSSSRSRRSSS;RRRSR;SSSS;SRSSS;S/SS/RS/SS/SR/S.SRSRRSSS;RRRSR;SSRRRSSS;SSSS;RRSSSS;SRRSSS;RRSSRSRSSS;RRSSSRSRR,7-6(3) 6-2,0
06 Jan 11,ATPChallenger-SaoPaulo2010,CH,Main,Tsung-Hua Yang,Ricardo Mello,1,RSSSS;SSSS;SSSS;SSSS;RSRSRSRSRSSS;RSSRRSSRRSRR;SRSRSRSRRSSRSS;SRRSSS;RSSSRRSRSRRSSRSS.SSRRSRRSSS;SSSS;SRSRSRSS;SSSRS;SSRRSS;SRSSS;RSSSRRSS;RRSSSS;RSSRSRRSSRRSRSSS;RSRRR.RSSSS;SSSS;SSSS;SSSRS;SRSSS;RRSRSSSS;SSRSS;RRRSSSRSSS;SRSSS;SSRSS;RSSSRRRSRSSS;RSSSS;S/SS/RS/RR/SS/S,6-3 4-6 7-6(3),0
06 Jan 11,ATPChallenger-SaoPaulo2010,CH,Main,Rafael Camilo,Horacio Zeballos,1,SSSS;SSSS;SSSS;SSSS;SSSS;SSRRSS;SSSRS;RSSSS;SRSRSS;SSSS;SRSSRS;SSRSS;R/SR/SS/SR/SR/SR/S.RSSSS;SSSS;SSSS;SSSS;SSSS;SSSS;SSSS;RRRR;SSSS.SSSS;SSSS;SSSS;SSSS;SSSS;RSSSS;SRSSRS;RSSSS;SSSS;SSSRS;SRRSSS;SSRRSRSS;S/RS/SR/SS/SS/SS/SR/RR,7-6(5) 3-6 7-6(6),0
03 Jan 11,ATPChallengerTourSaoPaulo2010,CH,Main,Jose Pereira,Henrique Cunha,2,SRSRRSRSSRRSRR;SRSSS;RRSRR;RSSSS;RRRSR;RSSSS.RRRSR;SRSSS;SSSS;SSSS;RRSRSSRSSS;RRSSRSSS;SSSS;SRRSSRSS;RSRR,6-0 6-3,0
05 Jan 11,ATPChallengerTourSaoPaulo2010,CH,Main,Matteo Trevisan,Joao Souza,2,SSSS;SSSS;SSSS;SSSS;SSSS;SSSS;SSSS;SSSS;SSSRRRRSSS;RRRSR.SSSS;RSRSRSSS;SSSRS;SSSRS;RSSSRS;SRSSS;SRSSRRSRRR;SSRSS;RSRSRSRR.SSSS;SSSS;SSSRRS;RSRRR;SSSS;RSSRRR;SSS,4-6 6-3 6-1,0
05 Jan 11,ATPChallengerTourSaoPaulo2010,CH,Main,Christian Lindell,Andres Molteni,2,SSSRRRRSSS;SSSRRS;SSSRS;RRSSSRRSRR;SSRSS;SRRRR;RSSSS.SSSS;SSSRS;SRSSRS;RSSSS;SSSRS;SSSS;SSSRS;SSSS;RRSSSS;RSSSS;RSSSS;SSSS;R/SR/SS/RS/SS/SS/S.SRSRRSSS;RRSSRSSS;SRRRR;SSSS;RRRR;SSSS;SSSS;SSS,1-6 7-6(5) 6-2,0
05 Jan 11,ATPChallengerTourSaoPaulo2010,CH,Main,Fernando Romboli,Thiago Alves,1,SSSS;SSSS;SSRSS;SSRSS;SRSSS;SSSRS;SSSS;RSSSS;RSSSS;SSSS;SRSSS;RSSSRS;S/SS/SS/SR/SS/R.RSSRSRRSRSRSRR;SSSS;SRSSS;SSRRSRRSSRSS;RSSSS;SRRSSS;SSSS;RRSSSRSS;SSSS;SSRS,7-6(3) 6-4,0
07 Jan 11,ATPChallengerTourSaoPaulo2010,CH,Main,Ricardo Mello,Juan Pablo Brzezicki,1,SSSRRRRSSRRR;RRRR;SSSS;RSRSSRRR;SRRRSSRSSS;SSSS;SRSSS;RRRR.SRRSSS;RSRSRSSRRR;SSSS;RRRR;SSRSRS;SRRRSSR,6-2 6-0,0
07 Jan 11,ATPChallengerTourSaoPaulo2010,CH,Main,Thomas Fabbiano,Rafael Camilo,2,SSSRRS;RSSSRS;SSSS;SSRSS;RRSSSS;SSSS;RRSSSRSS;SRSSS;RSSRRR;SSSRRS.SRRSRSRSRSRSRR;RRSSSS;SSSRRRSS;SSSS;RRRR;SSSS;SRSRSS;RSSS,6-4 6-2,0
